temperature,x,y,z
-24860.334666666666,-8.859666666666667,14.596166666666667,-30.539833333333334
-23187.6095,-4.2545,13.983666666666666,-25.7475
-21638.285666666667,-0.23033333333333333,13.449,-21.410333333333334
-20284.475333333332,2.8805,13.071833333333334,-17.6605
-19125.2235,5.6273333333333335,12.749,-14.518833333333333
-18142.6245,7.673333333333333,12.537666666666667,-11.8765
-17323.521666666667,9.561166666666667,12.429833333333333,-9.661166666666666
-16635.4485,11.085,12.290166666666666,-7.805
-16061.372166666666,12.331666666666667,12.165333333333333,-6.222
-15552.258166666667,13.721833333333333,12.024833333333333,-4.920833333333333
-15147.791,14.593,11.966666666666667,-3.779166666666667
-14782.6625,15.372166666666667,11.888666666666667,-2.8346666666666667
-14487.181166666667,16.053833333333333,11.851166666666666,-2.0185
-14226.740833333333,16.681,11.7585,-1.3
-13998.222333333333,17.174,11.695666666666666,-0.6775
-13812.186333333333,17.7055,11.583333333333334,-0.14816666666666667
-13605.280833333334,18.079833333333333,11.5405,0.3421666666666667
-13447.805166666667,18.436666666666667,11.469333333333333,0.7943333333333333
-13331.624666666667,18.7685,11.416,1.1536666666666666
-13151.540833333333,19.021333333333335,11.4215,1.5311666666666666
-13075.827666666666,19.420833333333334,11.379166666666666,1.8536666666666666
-12920.863833333333,19.592833333333335,11.3615,2.1441666666666666
-12828.486666666666,19.779833333333332,11.326833333333333,2.4071666666666665
-12729.2695,20.083166666666667,11.260333333333334,2.7303333333333333
-12584.475,20.245666666666665,11.237,2.993
-12550.351166666667,20.459333333333333,11.198333333333334,3.265
-12381.9305,20.718166666666665,11.1875,3.5178333333333334
-12320.209166666667,20.949333333333332,11.120166666666666,3.7293333333333334
-12291.361166666667,21.150666666666666,11.124833333333333,3.972
-12137.904166666667,21.384166666666665,11.108333333333333,4.141333333333334
-12068.674166666666,21.55216666666667,11.076666666666666,4.322666666666667
-12054.558166666666,21.77316666666667,11.027833333333334,4.478833333333333
-12005.451666666666,21.916166666666665,11.061833333333333,4.6655
-11864.500666666667,22.048333333333332,11.075833333333334,4.819333333333334
-11815.1015,22.265833333333333,11.041,4.948333333333333
-11806.265833333333,22.404333333333334,11.076833333333333,5.112166666666667
-11788.677833333333,22.47,11.016333333333334,5.2251666666666665
-11740.915,22.541,11.009666666666666,5.378833333333334
-11620.002833333334,22.798333333333332,10.966333333333333,5.461166666666666
-11572.287,22.928,11.001,5.586333333333333
-11554.560666666666,23.039166666666667,10.980833333333333,5.6505
-11550.775833333333,23.2215,10.938,5.7595
-11539.592833333334,23.158666666666665,10.929666666666666,5.873166666666667
-11526.490333333333,23.219333333333335,10.888833333333332,5.962
-11489.0285,23.3375,10.876333333333333,6.02
-11400.931666666667,23.356666666666666,10.898166666666667,6.104
-11345.1245,23.447,10.941833333333333,6.154333333333334
-11322.734,23.410833333333333,10.921333333333333,6.2385
-11303.985833333334,23.4925,10.9115,6.2755
-11298.446,23.6495,10.8775,6.342666666666666
-11296.631333333333,23.824,10.8275,6.4055
-11294.591333333334,23.809166666666666,10.864,6.407333333333334
-11289.398333333333,23.857666666666667,10.871333333333334,6.473833333333333
-11281.131,23.968,10.837333333333333,6.536333333333333
-11274.8815,24.090666666666667,10.807166666666667,6.582833333333333
-11269.113166666666,24.030166666666666,10.836,6.627
-11260.642333333333,24.090833333333332,10.842333333333332,6.671166666666666
-11228.458333333334,24.192166666666665,10.8115,6.6865
-11179.323,24.3065,10.823,6.711833333333334
-11132.646666666667,24.290333333333333,10.833,6.736666666666666
-11098.513833333333,24.33416666666667,10.866166666666667,6.7396666666666665
-11087.816166666667,24.397166666666667,10.841,6.802833333333333
-11077.2015,24.455666666666666,10.828666666666667,6.810833333333333
-11065.633166666667,24.465333333333334,10.832166666666666,6.846333333333333
-11055.148,24.494666666666667,10.783666666666667,6.864
-11048.161833333334,24.610166666666668,10.816,6.901833333333333
-11044.783,24.498666666666665,10.832666666666666,6.940666666666667
-11042.8545,24.5275,10.8055,6.972
-11041.771833333334,24.645666666666667,10.758166666666666,6.961
-11041.089333333333,24.673833333333334,10.768,6.994833333333333
-11040.524,24.561,10.757333333333333,7.024
-11039.870333333334,24.642666666666667,10.772333333333334,7.058833333333333
-11039.003333333334,24.609,10.833833333333333,7.059166666666667
-11037.632833333333,24.625,10.774166666666666,7.0808333333333335
-11035.975,24.637,10.789166666666667,7.0906666666666665
-11033.646666666667,24.690666666666665,10.781666666666666,7.096333333333333
-11029.917333333333,24.7875,10.74,7.107833333333334
-11026.435166666666,24.701833333333333,10.759166666666667,7.137333333333333
-11023.7985,24.867166666666666,10.724833333333333,7.147833333333334
-11021.523,24.889166666666668,10.766833333333333,7.1725
-11019.843833333332,24.8915,10.770333333333333,7.201833333333333
-11018.219333333333,24.863833333333332,10.808833333333334,7.208666666666667
-11016.661833333334,24.988666666666667,10.769,7.220833333333333
-11015.213,25.039833333333334,10.714333333333334,7.235166666666666
-11013.9425,25.045,10.724833333333333,7.227
-11011.125333333333,25.026333333333334,10.712166666666667,7.2405
-11008.327166666666,25.085333333333335,10.678666666666667,7.242333333333334
-11008.117333333334,25.1205,10.722833333333334,7.268666666666666
-11002.718166666667,25.143166666666666,10.7125,7.2825
-11000.394333333334,25.145166666666668,10.675,7.289333333333333
-10993.575333333334,25.152333333333335,10.691833333333333,7.3275
-10985.917833333333,25.153666666666666,10.7255,7.332833333333333
-10973.6475,25.142333333333333,10.706666666666667,7.339666666666667
-10969.094333333333,25.1115,10.7155,7.338333333333333
-10956.409333333333,25.1285,10.787,7.330666666666667
-10944.5605,25.2785,10.672833333333333,7.330666666666667
-10928.417,25.225833333333334,10.709666666666667,7.333833333333334
-10909.372333333333,25.1835,10.711666666666666,7.3213333333333335
-10901.021833333334,25.233833333333333,10.686333333333334,7.349333333333333
-10890.446666666667,25.124666666666666,10.717166666666667,7.353
-10888.017,25.21066666666667,10.703166666666666,7.367333333333334
-10865.102666666668,25.259833333333333,10.690333333333333,7.352166666666666
-10873.221,25.233833333333333,10.670833333333333,7.362666666666667
-10860.604333333333,25.300333333333334,10.712666666666667,7.347666666666667
-10858.949333333334,25.420166666666667,10.700833333333334,7.3745
-10851.242166666667,25.3465,10.675166666666666,7.339166666666666
-10846.369166666667,25.365833333333335,10.686833333333333,7.346
-10845.740333333333,25.279166666666665,10.692666666666666,7.3355
-10843.685666666666,25.349,10.665666666666667,7.3605
-10843.4025,25.433833333333332,10.640666666666666,7.373833333333334
-10840.632,25.431,10.6785,7.375333333333334
-10837.856666666667,25.371166666666667,10.672833333333333,7.356
-10837.930166666667,25.392,10.656333333333333,7.385166666666667
-10834.631166666666,25.340833333333332,10.700666666666667,7.381666666666667
-10833.284,25.263333333333332,10.689833333333333,7.3821666666666665
-10832.58,25.394333333333332,10.636166666666666,7.4145
-10831.633666666667,25.3905,10.646666666666667,7.392666666666667
-10830.956833333334,25.415666666666667,10.668666666666667,7.374333333333333
-10830.425333333333,25.326166666666666,10.665166666666666,7.396166666666667
-10830.422,25.319333333333333,10.671,7.384
-10829.119666666667,25.3825,10.6085,7.3895
-10827.705833333333,25.465333333333334,10.622333333333334,7.397833333333334
-10826.995166666668,25.430833333333332,10.645,7.397833333333334
